Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(650, 651]",0.683908046,0.739811912,0.645768025,0.705570292,0.746081505,0.824712644,0.818181818,0.795977011,0.664576803,0.75862069,0.765517241,0.642633229
"(651, 652]",0.733333333,0.863636364,0.672727273,0.766666667,0.748484848,0.861111111,0.815151515,0.602777778,0.636363636,0.863636364,0.726666667,0.593939394
"(652, 653]",0.636111111,0.7,0.709090909,0.633333333,0.648484848,0.811111111,0.884848485,0.708333333,0.818181818,0.815151515,0.676666667,0.733333333
"(653, 654]",0.769444444,0.809090909,0.796969697,0.669230769,0.684848485,0.794444444,0.890909091,0.688888889,0.806060606,0.736363636,0.846666667,0.757575758
"(654, 655]",0.786111111,0.93030303,0.909090909,0.730769231,0.672727273,0.877777778,0.915151515,0.836111111,0.724242424,0.718181818,0.883333333,0.836363636
"(655, 656]",0.772222222,0.796969697,0.9,0.643589744,0.857575758,0.830555556,0.86969697,0.855555556,0.718181818,0.83030303,0.713333333,0.763636364
"(656, 657]",0.646551724,0.768025078,0.871473354,0.684350133,0.818181818,0.91954023,0.887147335,0.793103448,0.768025078,0.862068966,0.748275862,0.611285266
"(657, 658]",0.622222222,0.727272727,0.836363636,0.615384615,0.66969697,0.838888889,0.718181818,0.766666667,0.812121212,0.73030303,0.813333333,0.627272727
"(658, 659]",0.452777778,0.763636364,0.703030303,0.687179487,0.696969697,0.788888889,0.657575758,0.744444444,0.812121212,0.875757576,0.813333333,0.675757576
"(659, 660]",0.469444444,0.639393939,0.678787879,0.656410256,0.7,0.75,0.751515152,0.844444444,0.796969697,0.754545455,0.79,0.733333333
"(660, 661]",0.588888889,0.572727273,0.681818182,0.771794872,0.8,0.780555556,0.8,0.827777778,0.803030303,0.781818182,0.803333333,0.666666667
"(661, 662]",0.763888889,0.693939394,0.775757576,0.733333333,0.742424242,0.788888889,0.909090909,0.802777778,0.848484848,0.784848485,0.706666667,0.760606061
"(662, 663]",0.672413793,0.774294671,0.777429467,0.75596817,0.680250784,0.635057471,0.836990596,0.755747126,0.799373041,0.921630094,0.820689655,0.746081505
"(663, 664]",0.752777778,0.751515152,0.966666667,0.838461538,0.724242424,0.708333333,0.890909091,0.766666667,0.781818182,0.851515152,0.856666667,0.854545455
"(664, 665]",0.725,0.745454545,0.921212121,0.792307692,0.890909091,0.788888889,0.836363636,0.777777778,0.763636364,0.760606061,0.7,0.809090909
"(665, 666]",0.769444444,0.93030303,0.821212121,0.838461538,0.83030303,0.744444444,0.863636364,0.744444444,0.906060606,0.818181818,0.593333333,0.690909091
"(666, 667]",0.85,0.684848485,0.848484848,0.679487179,0.775757576,0.708333333,0.845454545,0.675,0.809090909,0.875757576,0.683333333,0.718181818
"(667, 668]",0.863888889,0.687878788,0.887878788,0.738461538,0.775757576,0.730555556,0.76969697,0.752777778,0.76969697,0.815151515,0.74,0.787878788
"(668, 669]",0.882183908,0.736677116,0.742946708,0.774535809,0.548589342,0.727011494,0.811912226,0.683908046,0.695924765,0.830721003,0.917241379,0.796238245
"(669, 670]",0.733333333,0.818181818,0.845454545,0.669230769,0.748484848,0.694444444,0.824242424,0.713888889,0.76969697,0.915151515,0.743333333,0.775757576
"(670, 671]",0.588888889,0.757575758,0.766666667,0.705128205,0.836363636,0.791666667,0.866666667,0.677777778,0.781818182,0.854545455,0.753333333,0.660606061
"(671, 672]",0.680555556,0.687878788,0.772727273,0.625641026,0.763636364,0.738888889,0.893939394,0.8,0.86969697,0.896969697,0.75,0.73030303
"(672, 673]",0.802777778,0.624242424,0.809090909,0.751282051,0.875757576,0.761111111,0.851515152,0.736111111,0.76969697,0.809090909,0.85,0.660606061
"(673, 674]",0.719444444,0.681818182,0.809090909,0.758974359,0.884848485,0.686111111,0.854545455,0.741666667,0.766666667,0.721212121,0.596666667,0.615151515
"(674, 675]",0.770114943,0.68338558,0.789968652,0.774535809,0.749216301,0.787356322,0.862068966,0.683908046,0.789968652,0.862068966,0.586206897,0.736677116
