Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(1054, 1055]",0.053333333,0,0,0.145454545,0.117948718,0.036363636,0.084848485,0.016666667,0.042424242,0.206060606,0,0.01
"(1055, 1056]",0.066666667,0,0,0.106060606,0.143589744,0.063636364,0.093939394,0.061111111,0,0.093939394,0,0.016666667
"(1056, 1057]",0.09,0,0,0.084848485,0.115384615,0.090909091,0.078787879,0.008333333,0,0.118181818,0,0.006666667
"(1057, 1058]",0.096666667,0,0,0.087878788,0.115384615,0.075757576,0.06969697,0.002777778,0,0.096969697,0,0
"(1058, 1059]",0,0,0,0.087878788,0.1,0.093939394,0.018181818,0.036111111,0.015151515,0.257575758,0,0
"(1059, 1060]",0.048275862,0,0,0.12539185,0.159151194,0.103448276,0.043887147,0.037356322,0.031347962,0.203761755,0,0.003448276
"(1060, 1061]",0.036666667,0,0,0.178787879,0.130769231,0.106060606,0.057575758,0.069444444,0.057575758,0.178787879,0.024242424,0.06
"(1061, 1062]",0.04,0,0,0.151515152,0.084615385,0.13030303,0.018181818,0.069444444,0.051515152,0.187878788,0.015151515,0.006666667
"(1062, 1063]",0.1,0,0,0.063636364,0.102564103,0.066666667,0.027272727,0.077777778,0,0.157575758,0,0.003333333
"(1063, 1064]",0.103333333,0,0,0.021212121,0.112820513,0.1,0,0.055555556,0.024242424,0.133333333,0,0.01
"(1064, 1065]",0.08,0,0,0.051515152,0.141025641,0.045454545,0.015151515,0.016666667,0,0.236363636,0,0.013333333
"(1065, 1066]",0.110344828,0.012539185,0,0.012539185,0.188328912,0.094043887,0,0.028735632,0.015673981,0.178683386,0,0.017241379
"(1066, 1067]",0.1,0,0,0,0.192307692,0.066666667,0.003030303,0.041666667,0,0.139393939,0.015151515,0.013333333
"(1067, 1068]",0.106666667,0,0,0.042424242,0.076923077,0.018181818,0,0.008333333,0.009090909,0.066666667,0,0.02
"(1068, 1069]",0.023333333,0,0.003333333,0.045454545,0.043589744,0.003030303,0,0.108333333,0.03030303,0.148484848,0,0.01
"(1069, 1070]",0.076666667,0,0,0.024242424,0.146153846,0.021212121,0,0.013888889,0,0.106060606,0,0.013333333
"(1070, 1071]",0.093333333,0.012121212,0,0.127272727,0.138461538,0.075757576,0,0.063888889,0,0.106060606,0,0
"(1071, 1072]",0.079310345,0,0,0.081504702,0.175066313,0.087774295,0,0.08908046,0.031347962,0.247648903,0,0.017241379
"(1072, 1073]",0.093333333,0,0,0.184848485,0.174358974,0.081818182,0,0.088888889,0.003030303,0.33030303,0,0.01
"(1073, 1074]",0.116666667,0,0,0.124242424,0.158974359,0.112121212,0.015151515,0.038888889,0,0.290909091,0,0.003333333
"(1074, 1075]",0.07,0,0,0.084848485,0.217948718,0.112121212,0.039393939,0.058333333,0,0.272727273,0.012121212,0
"(1075, 1076]",0.08,0,0,0.139393939,0.120512821,0.063636364,0.009090909,0.072222222,0,0.166666667,0,0.016666667
"(1076, 1077]",0.06,0,0,0.139393939,0.235897436,0.057575758,0.081818182,0.047222222,0,0.218181818,0,0.006666667
"(1077, 1078]",0.010344828,0,0,0.178683386,0.233421751,0.097178683,0.006269592,0.040229885,0.065830721,0.257053292,0,0.003448276
"(1078, 1079]",0,0.003030303,0,0.133333333,0.125641026,0.090909091,0.021212121,0.061111111,0.045454545,0.163636364,0,0.036666667
"(1079, 1080]",0,0.009090909,0,0.054545455,0.125641026,0.084848485,0.042424242,0.022222222,0,0.118181818,0,0.01
"(1080, 1081]",0.043333333,0,0,0.13030303,0.056410256,0.109090909,0,0.030555556,0,0.203030303,0.012121212,0.01
"(1081, 1082]",0.1,0,0,0.142424242,0.1,0.1,0.048484848,0.088888889,0.084848485,0.057575758,0,0
"(1082, 1083]",0.076666667,0,0,0.042424242,0.092307692,0.036363636,0.018181818,0.058333333,0.012121212,0.124242424,0.087878788,0.076666667
"(1083, 1084]",0.068965517,0,0,0.059561129,0.039787798,0.134796238,0,0.109195402,0,0.156739812,0.031347962,0.048275862
"(1084, 1085]",0.123333333,0,0.013333333,0.115151515,0.020512821,0.027272727,0.003030303,0.080555556,0,0.06969697,0.003030303,0.003333333
"(1085, 1086]",0.113333333,0,0,0.115151515,0.084615385,0.015151515,0.009090909,0.058333333,0,0.115151515,0,0.006666667
"(1086, 1087]",0.1,0,0,0.103030303,0.066666667,0.006060606,0.006060606,0.066666667,0.018181818,0.133333333,0,0.013333333
"(1087, 1088]",0.03,0,0,0.090909091,0.097435897,0,0.048484848,0.019444444,0,0.136363636,0,0.006666667
"(1088, 1089]",0.016666667,0,0,0.115151515,0.012820513,0.054545455,0.066666667,0.066666667,0,0.209090909,0,0.006666667
"(1089, 1090]",0.103448276,0,0,0.106583072,0,0.053291536,0.006269592,0.077586207,0.047021944,0.210031348,0,0.013793103
"(1090, 1091]",0.06,0.012121212,0,0.13030303,0,0.090909091,0.039393939,0.077777778,0.036363636,0.166666667,0,0
"(1091, 1092]",0.043333333,0,0,0.090909091,0.061538462,0.090909091,0,0.027777778,0.048484848,0.266666667,0,0.016666667
"(1092, 1093]",0.076666667,0,0.016666667,0.121212121,0.11025641,0.090909091,0,0.025,0.009090909,0.218181818,0,0.013333333
"(1093, 1094]",0.093333333,0,0.003333333,0.078787879,0.115384615,0.090909091,0.03030303,0.030555556,0,0.151515152,0,0.003333333
"(1094, 1095]",0.136666667,0,0,0.13030303,0.105128205,0.093939394,0.006060606,0.055555556,0,0.084848485,0,0.013333333
